Iteration, Processing_Time, Distance, Area, LoopClosures, Current Error 
261, 122.598, 74.3625, 186.785, 12, 0.258646
262, 132.986, 74.6137, 191.195, 12, 0.184107
263, 136.228, 74.9148, 193.26, 12, 0.237946
264, 127.783, 75.2657, 194.543, 12, 0.266517
265, 128.375, 75.5361, 195.67, 12, 0.198716
266, 114.707, 75.8065, 196.438, 12, 0.163102
267, 117.969, 76.14, 197.665, 12, 0.228865
268, 113.753, 76.39, 199.718, 12, 0.185881
269, 115.833, 76.6413, 200.688, 12, 0.175916
270, 105.282, 76.9423, 202.15, 12, 0.209029
271, 103.881, 77.1973, 203.363, 12, 0.181971
272, 112.216, 77.5065, 203.998, 12, 0.186463
273, 118.589, 77.8419, 205.11, 12, 0.263826
274, 122.819, 78.1029, 206.648, 12, 0.178158
275, 111.859, 78.405, 208.275, 12, 0.194612
276, 120.763, 78.7061, 207.615, 12, 0.180088
277, 114.524, 78.9753, 209.08, 12, 0.180136
278, 123.083, 79.2753, 210.078, 12, 0.206846
279, 110.116, 79.5058, 210.073, 12, 0.236364
280, 105.968, 79.7819, 211.745, 12, 0.300081
281, 118.301, 79.9835, 212.395, 12, 0.276327
282, 116.36, 80.1851, 213.768, 12, 0.325123
283, 127.02, 80.44, 213.923, 12, 0.373176
284, 135.565, 80.695, 214.748, 12, 0.38241
285, 131.725, 80.8965, 217.598, 12, 0.377079
286, 136.937, 81.1337, 218.865, 12, 0.426556
287, 132.887, 81.3837, 219.708, 12, 0.377478
288, 130.882, 81.6929, 221.17, 12, 0.470984
289, 142.482, 81.9442, 221.715, 12, 0.428651
290, 115.713, 82.2052, 222.48, 12, 0.403203
291, 124.683, 82.5933, 222.915, 12, 0.458028
292, 115.415, 82.8943, 223.36, 12, 0.441225
293, 134.076, 83.1984, 223.713, 12, 0.40218
294, 145.328, 83.4995, 223.695, 12, 0.4023
295, 150.116, 83.7756, 223.695, 12, 0.396921
296, 134.884, 84.0306, 223.695, 12, 0.380661
297, 154.661, 84.2818, 223.695, 12, 0.378668
298, 142.534, 84.5568, 223.695, 12, 0.375482
299, 154.499, 84.7873, 224.01, 12, 0.38161
300, 151.382, 85.0884, 224.01, 12, 0.363857
301, 138.472, 85.3396, 224.015, 12, 0.327324
302, 140.958, 85.5946, 224.015, 12, 0.311389
303, 130.682, 85.8741, 224.015, 12, 0.337909
304, 138.567, 86.3616, 225.533, 15, 0.0567685
305, 146.448, 86.5975, 225.533, 15, 0.150862
306, 158.853, 86.8437, 225.533, 15, 0.319312
307, 129.379, 87.0701, 225.57, 16, 0.269984
308, 147.121, 87.3109, 225.428, 17, 0.190413
309, 157.383, 87.6307, 225.143, 18, 0.0782489
310, 127.547, 87.8741, 225.025, 19, 0.0302483
311, 152.078, 88.1752, 225.025, 19, 0.0623972
312, 132.619, 88.1752, 225.025, 19, 0.06649
313, 129.794, 88.7275, 225.028, 19, 0.0438905
314, 149.026, 89.0775, 225.065, 19, 0.113756
315, 142.151, 89.3525, 225.108, 19, 0.0277559
316, 128.855, 89.6025, 225.083, 19, 0.036501
317, 137.004, 89.882, 225.108, 19, 0.0523533
318, 116.981, 90.182, 225.108, 19, 0.0181122
319, 127.693, 90.432, 225.1, 19, 0.0932131
320, 133.906, 90.7235, 226.31, 19, 0.0834221
321, 120.397, 90.9697, 227.32, 19, 0.126195
322, 123.347, 91.279, 228.648, 19, 0.0722558
323, 113.775, 91.5551, 229.86, 19, 0.0847041
324, 116.578, 91.8051, 230.895, 19, 0.107598
325, 116.27, 92.1311, 232.24, 19, 0.058477
326, 126.898, 92.4321, 233.51, 19, 0.0833116
327, 151.648, 92.6557, 234.17, 19, 0.155918
328, 117.518, 92.7116, 234.17, 19, 0.373676
329, 124.129, 92.9774, 234.803, 19, 0.182418
330, 132.57, 93.2348, 235.243, 19, 0.124034
331, 112.386, 93.5052, 236.375, 19, 0.136172
332, 133.262, 93.6956, 241.053, 19, 0.180571
333, 114.472, 93.9261, 246.075, 19, 0.16758
334, 130.521, 94.252, 249.433, 19, 0.099034
335, 123.262, 94.5213, 250.335, 19, 0.172241
336, 110.725, 94.7449, 251.72, 19, 0.237454
337, 133.676, 95.047, 252.558, 19, 0.179697
338, 109.706, 95.3162, 253.58, 19, 0.217726
339, 124.947, 95.5662, 254.235, 19, 0.200445
340, 121.876, 95.8673, 254.68, 19, 0.16529
341, 115.046, 96.1185, 255.095, 19, 0.213771
342, 138.076, 96.3685, 255.09, 19, 0.208571
343, 140.921, 96.6185, 255.985, 19, 0.211194
344, 126.15, 96.8947, 256.48, 19, 0.222434
345, 131.901, 97.1447, 256.473, 19, 0.231792
346, 137.006, 97.3947, 256.868, 19, 0.230339
347, 126.986, 97.6947, 256.75, 19, 0.190027
348, 122.493, 98.0347, 257.9, 19, 0.217675
349, 132.599, 98.3606, 256.99, 19, 0.21575
350, 135.939, 98.5978, 259.325, 19, 0.241699
351, 132.413, 98.8773, 259.015, 19, 0.255353
352, 129.644, 99.1037, 258.73, 19, 0.270111
353, 136.659, 99.3537, 258.56, 19, 0.250417
354, 122.605, 99.5801, 260.273, 19, 0.253224
355, 119.777, 99.5801, 260.26, 19, 0.271789
356, 129.26, 100.124, 260.26, 19, 0.257812
357, 127.736, 100.324, 260.683, 19, 0.251448
358, 124.728, 100.554, 260.68, 19, 0.247038
359, 118.04, 100.806, 260.68, 19, 0.237919
360, 123.11, 101.056, 261.08, 19, 0.232111
361, 155.023, 101.357, 261.08, 19, 0.244162
362, 134.159, 101.658, 261.08, 19, 0.251699
363, 132.641, 101.908, 261.08, 19, 0.238925
364, 150.999, 102.158, 261.08, 19, 0.250439
365, 134.703, 102.458, 261.08, 19, 0.265696
366, 123.549, 102.708, 261.065, 19, 0.258048
367, 134.227, 106.642, 280.558, 22, 3.68043
368, 136.645, 106.817, 280.335, 22, 3.61789
369, 136.291, 107.04, 280.335, 22, 3.29638
370, 121, 107.325, 280.335, 22, 2.80912
371, 114.302, 107.625, 280.335, 22, 2.27506
372, 129.106, 107.876, 280.335, 22, 1.76749
373, 132.489, 108.131, 280.335, 22, 1.32338
374, 116.76, 108.381, 280.335, 22, 0.976787
375, 119.843, 108.636, 280.335, 22, 0.775582
376, 141.723, 108.897, 280.215, 22, 0.793934
377, 129.675, 109.149, 280.203, 22, 1.14759
378, 119.603, 109.449, 280.098, 22, 1.56862
379, 118.731, 109.499, 280.1, 22, 1.86103
380, 138.213, 109.578, 280.218, 22, 1.96188
381, 132.998, 109.653, 280.178, 22, 2.11786
382, 119.862, 109.903, 280.175, 22, 2.38771
383, 127.754, 110.153, 279.843, 22, 2.87453
384, 114.397, 110.4, 280.038, 22, 3.28203
385, 132.236, 110.68, 279.988, 22, 3.6719
386, 116.334, 110.905, 279.988, 22, 4.05155
387, 128.788, 110.905, 279.988, 22, 4.43358
388, 119.888, 111.434, 279.975, 22, 4.86249
389, 123.407, 111.684, 279.968, 22, 5.3438
